Accuracy01;ActiveHand;AfterEffectCm;AttemptIndex;BlockType;ChoiceSide;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;DeltaAccuracyPct;EffectMode;Email;ErrorCm;Event;EventType;Framecount;GameId;GapMeters;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HitDistanceMeters;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;HitWorldX;HitWorldY;HitWorldZ;IsCorrect;IsHit;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;LeftLengthMeters;LineLengthMeters;LineZMeters;LongerSide;MeanCm;MoleId;MoleIndexX;MoleIndexY;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;RightLengthMeters;SdCm;SessionID;SignedOffsetCm;SourceTaskMode;SuccessCount;TargetIndex;TargetWorldX;TargetWorldY;TargetWorldZ;TaskMode;TimeSinceLastEvent;Timestamp;TrackingMode;TrialIndex;TrialsPerBlock;XRBackend
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Game Started;GameEvent;1;7f999d7a-b252-4a97-803e-36bf23ba3b28;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;8569edad-f7cf-4d11-aeda-84d51943436f;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-03-20 14:21:13.6515;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Block Started;BlockEvent;1;7f999d7a-b252-4a97-803e-36bf23ba3b28;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;8569edad-f7cf-4d11-aeda-84d51943436f;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-03-20 14:21:13.6559;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;370;7f999d7a-b252-4a97-803e-36bf23ba3b28;NULL;-0.0498;0.0024;0.0492;354.2946;0.8769;0.0188;NULL;NULL;NULL;NULL;-0.0173;0.0000;2.0000;NULL;NULL;0.0487;-1.3393;0.1730;0.0000;333.0799;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0149;-0.0982;0.6521;355.7835;359.8973;3.5905;-0.0184;-0.1057;0.6480;356.1463;0.3299;4.0685;1;NULL;NULL;8569edad-f7cf-4d11-aeda-84d51943436f;-1.7334;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;4.0561;2026-03-20 14:21:21.6278;Controllers;1;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;387;7f999d7a-b252-4a97-803e-36bf23ba3b28;NULL;-0.0496;0.0028;0.0469;353.6522;0.8858;0.0539;NULL;NULL;NULL;NULL;-0.0172;0.0000;2.0000;NULL;NULL;0.0487;-1.3393;0.1730;0.0000;333.0799;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0174;-0.1010;0.6532;355.6710;0.0066;4.1152;-0.0182;-0.1025;0.6471;355.2002;0.6924;3.9857;1;NULL;NULL;8569edad-f7cf-4d11-aeda-84d51943436f;-1.7216;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2418;2026-03-20 14:21:21.8642;Controllers;2;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;406;7f999d7a-b252-4a97-803e-36bf23ba3b28;NULL;-0.0492;0.0027;0.0456;353.5449;1.1605;359.9273;NULL;NULL;NULL;NULL;-0.0163;0.0000;2.0000;NULL;NULL;0.0487;-1.3393;0.1730;0.0000;333.0799;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0186;-0.1022;0.6538;355.7195;0.0989;4.1489;-0.0221;-0.1070;0.6478;356.1028;359.8030;4.3796;1;NULL;NULL;8569edad-f7cf-4d11-aeda-84d51943436f;-1.6258;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2494;2026-03-20 14:21:22.1144;Controllers;3;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;428;7f999d7a-b252-4a97-803e-36bf23ba3b28;NULL;-0.0492;0.0022;0.0448;353.6093;0.8852;359.9198;NULL;NULL;NULL;NULL;-0.0013;0.0000;2.0000;NULL;NULL;0.0487;-1.3393;0.1730;0.0000;333.0799;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0181;-0.1040;0.6547;355.8285;0.7127;4.3121;-0.0149;-0.1065;0.6486;355.4602;1.5346;4.4753;1;NULL;NULL;8569edad-f7cf-4d11-aeda-84d51943436f;-0.1340;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2665;2026-03-20 14:21:22.3809;Controllers;4;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;446;7f999d7a-b252-4a97-803e-36bf23ba3b28;NULL;-0.0489;0.0020;0.0440;353.6433;0.8402;359.7863;NULL;NULL;NULL;NULL;0.0055;0.0000;2.0000;NULL;NULL;0.0487;-1.3393;0.1730;0.0000;333.0799;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0175;-0.1041;0.6549;355.6188;0.9800;4.4816;-0.0154;-0.1020;0.6463;354.8167;1.5879;4.3728;1;NULL;NULL;8569edad-f7cf-4d11-aeda-84d51943436f;0.5493;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2174;2026-03-20 14:21:22.5966;Controllers;5;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;461;7f999d7a-b252-4a97-803e-36bf23ba3b28;NULL;-0.0490;0.0017;0.0432;353.7290;0.8499;359.7550;NULL;NULL;NULL;NULL;0.0070;0.0000;2.0000;NULL;NULL;0.0487;-1.3393;0.1730;0.0000;333.0799;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0175;-0.1031;0.6544;355.3669;1.0423;4.4652;-0.0174;-0.0988;0.6445;354.5429;1.3168;4.0502;1;NULL;NULL;8569edad-f7cf-4d11-aeda-84d51943436f;0.7013;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2006;2026-03-20 14:21:22.7981;Controllers;6;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;482;7f999d7a-b252-4a97-803e-36bf23ba3b28;NULL;-0.0489;0.0018;0.0435;353.7106;0.7017;359.9681;NULL;NULL;NULL;NULL;0.0059;0.0000;2.0000;NULL;NULL;0.0487;-1.3393;0.1730;0.0000;333.0799;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0177;-0.1019;0.6538;355.2813;1.0051;4.3196;-0.0186;-0.1002;0.6448;355.1810;1.1543;4.1792;1;NULL;NULL;8569edad-f7cf-4d11-aeda-84d51943436f;0.5873;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2003;2026-03-20 14:21:22.9981;Controllers;7;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;502;7f999d7a-b252-4a97-803e-36bf23ba3b28;NULL;-0.0490;0.0022;0.0430;353.4838;0.6049;359.8455;NULL;NULL;NULL;NULL;0.0041;0.0000;2.0000;NULL;NULL;0.0487;-1.3393;0.1730;0.0000;333.0799;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0182;-0.1018;0.6536;355.3381;0.9499;4.1895;-0.0203;-0.1018;0.6452;355.2900;0.8878;4.1085;1;NULL;NULL;8569edad-f7cf-4d11-aeda-84d51943436f;0.4149;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2071;2026-03-20 14:21:23.2061;Controllers;8;30;OpenXR
