ActiveHand;AppliedEffectMode;BaselineSd;BaselineValue;BlockType;ConfiguredEffectMode;Email;Framecount;Magnitude;MetricName;MetricUnits;NormalizedMagnitude;Notes;PostSd;PostValue;SessionID;SignedDelta;SummaryType;TaskMode;Timestamp;TrackingMode;TrialCount;XRBackend
Right;None;NULL;NULL;Baseline;None;anonymous;902;NULL;SignedEndpointError;cm;NULL;Mean signed horizontal endpoint error;1.0974;0.2834;8569edad-f7cf-4d11-aeda-84d51943436f;NULL;BlockMetric;OpenLoop;2026-03-20 14:21:27.9585;Controllers;30;OpenXR
Right;None;NULL;NULL;Post;None;anonymous;6723;NULL;SignedEndpointError;cm;NULL;Mean signed horizontal endpoint error;0.3619;6.0092;8569edad-f7cf-4d11-aeda-84d51943436f;NULL;BlockMetric;OpenLoop;2026-03-20 14:22:35.3316;Controllers;30;OpenXR
Right;None;1.0974;0.2834;Post;None;anonymous;6723;5.7258;SignedEndpointError;cm;5.2174;Post minus baseline horizontal endpoint error;0.3619;6.0092;8569edad-f7cf-4d11-aeda-84d51943436f;5.7258;Aftereffect;OpenLoop;2026-03-20 14:22:35.3385;Controllers;30;OpenXR
