ActiveHand;AppliedEffectMode;BaselineSd;BaselineValue;BlockType;ConfiguredEffectMode;Email;Framecount;Magnitude;MetricName;MetricUnits;NormalizedMagnitude;Notes;PostSd;PostValue;SessionID;SignedDelta;SummaryType;TaskMode;Timestamp;TrackingMode;TrialCount;XRBackend
Right;None;NULL;NULL;Baseline;None;anonymous;1125;NULL;SignedEndpointError;cm;NULL;Mean signed horizontal endpoint error;2.0783;-10.4271;b544825c-84e7-4823-ac5b-c741175c33af;NULL;BlockMetric;OpenLoop;2026-03-20 12:47:02.0379;Controllers;30;OpenXR
Right;None;NULL;NULL;Post;None;anonymous;4032;NULL;SignedEndpointError;cm;NULL;Mean signed horizontal endpoint error;1.1151;0.0211;b544825c-84e7-4823-ac5b-c741175c33af;NULL;BlockMetric;OpenLoop;2026-03-20 12:47:43.4913;Controllers;30;OpenXR
Right;None;2.0783;-10.4271;Post;None;anonymous;4032;10.4482;SignedEndpointError;cm;5.0273;Post minus baseline horizontal endpoint error;1.1151;0.0211;b544825c-84e7-4823-ac5b-c741175c33af;10.4482;Aftereffect;OpenLoop;2026-03-20 12:47:43.4985;Controllers;30;OpenXR
