ActiveHand;AppliedEffectMode;BaselineSd;BaselineValue;BlockType;ConfiguredEffectMode;Email;Framecount;Magnitude;MetricName;MetricUnits;NormalizedMagnitude;Notes;PostSd;PostValue;SessionID;SignedDelta;SummaryType;TaskMode;Timestamp;TrackingMode;TrialCount;XRBackend
Right;None;NULL;NULL;Baseline;None;anonymous;750;NULL;SignedEndpointError;cm;NULL;Mean signed horizontal endpoint error;2.0059;-0.0372;d1724f9a-672b-4e26-bc0a-3dc23d8c8297;NULL;BlockMetric;OpenLoop;2026-03-20 12:53:22.6553;Controllers;30;OpenXR
Right;None;NULL;NULL;Post;None;anonymous;3438;NULL;SignedEndpointError;cm;NULL;Mean signed horizontal endpoint error;0.8678;3.5734;d1724f9a-672b-4e26-bc0a-3dc23d8c8297;NULL;BlockMetric;OpenLoop;2026-03-20 12:54:00.4473;Controllers;30;OpenXR
Right;None;2.0059;-0.0372;Post;None;anonymous;3438;3.6105;SignedEndpointError;cm;1.8000;Post minus baseline horizontal endpoint error;0.8678;3.5734;d1724f9a-672b-4e26-bc0a-3dc23d8c8297;3.6105;Aftereffect;OpenLoop;2026-03-20 12:54:00.4516;Controllers;30;OpenXR
